raw,nemo,number_parser,raw_indic_conformer,raw_google_speech,raw_slang_google_speech,nemo_indic_conformer,nemo_google_speech,nemo_slang_google_speech,np_indic_conformer,np_google_speech,np_slang_google_speech
"10 rupees,10 rupees","10 rupees,10 rupees","10 rupees,10 rupees",ten rupees,10 rupees,10 rupees,rs10,10 rupees,10 rupees,10 rupees,10 rupees,10 rupees
"send five hundred to subham ,send 500 to subham","send 500 to subham,send 500 to subham","send 500 to subham,send 500 to subham",send five hundred to shuha,send 500 to shubham,send 500 to shubham,send 500 to shuha,send 500 to shubham,send 500 to shubham,send 500 to shuha,send 500 to shubham,send 500 to shubham
"send twelve rupee to harsh,send 12 rupee to harsh","send twelve rupee to harsh,send 12 rupee to harsh","send 12 rupee to harsh,send 12 rupee to harsh",sen twelve rupees to rs,send 12 rupees to harsh,send 12 rupees to harsh,sen rs12 to rs,send 12 rupees to harsh,send 12 rupees to harsh,sen 12 rupees to rs,send 12 rupees to harsh,send 12 rupees to harsh
"request six thousand five hundred from ramesh,request 6500 from ramesh","request 6500 from ramesh,request 6500 from ramesh","request 6500 from ramesh,request 6500 from ramesh",request six thousand five hundre from ramesh,request 6500 from ramesh,request 6500 from ramesh,request 6005 hundre from ramesh,request 6500 from ramesh,request 6500 from ramesh,request 6005 hundre from ramesh,request 6500 from ramesh,request 6500 from ramesh
"five hundred,500","500,500","500,500",five hundred,500,500,500,500,500,500,500,500
"send nine hundred rupees to hotel ,send 900 rupees to hotel","send rs900 to hotel,send 900 rupees to hotel","send 900 rupees to hotel,send 900 rupees to hotel",send nine hundred rupees to hotel,send 900 rupees to hotel,send 900 rupees to hotel,send rs900 to hotel,send 900 rupees to hotel,send 900 rupees to hotel,send 900 rupees to hotel,send 900 rupees to hotel,send 900 rupees to hotel
"open the qr scanner ,open the qr scanner","open the qr scanner,open the qr scanner","open the qr scanner,open the qr scanner",open the qr scanner,open the qr scanner,open the qr scanner,open the qr scanner,open the qr scanner,open the qr scanner,open the qr scanner,open the qr scanner,open the qr scanner
"request one thousand rupees from aditya ,request 1000 rupees from aditya","request rs1000 from aditya,request 1000 rupees from aditya","request 1000 rupees from aditya,request 1000 rupees from aditya",request one thousand rupees from adte,request 1000 rupees from aditya,request 1000 rupees from aditya,request rs1000 from adte,request 1000 rupees from aditya,request 1000 rupees from aditya,request 1000 rupees from adte,request 1000 rupees from aditya,request 1000 rupees from aditya
"what is my balance ,what is my balance","what is my balance,what is my balance","what is my balance,what is my balance",what is my balance,what is my balance,what is my balance,what is my balance,what is my balance,what is my balance,what is my balance,what is my balance,what is my balance
"send birthday gift of three thousand two hundred to sita,send birthday gift of 3200 to sita","send birthday gift of 3200 to sita,send birthday gift of 3200 to sita","send birthday gift of 3200 to sita,send birthday gift of 3200 to sita",sent birthday gift of three thousand two hundre to seta,send birthday gift of 3202 sita,send birthday gift of 3202 sita,sent birthday gift of 3002 hundre to seta,send birthday gift of 3202 sita,send birthday gift of 3202 sita,sent birthday gift of 3002 hundre to seta,send birthday gift of 3202 sita,send birthday gift of 3202 sita
"scan one hundred rupees,scan 100 rupees","scan rs100,scan 100 rupees","scan 100 rupees,scan 100 rupees",scan one hundred rupees,scan 100 rupees,scan 100 rupees,scan rs100,scan 100 rupees,scan 100 rupees,scan 100 rupees,scan 100 rupees,scan 100 rupees
"five hundred rupees,500 rupees","rs500,500 rupees","500 rupees,500 rupees",find a request,find a rupees,find a rupees,find a request,find a rupees,find a rupees,find a request,find a rupees,find a rupees
"can i see the latest ipo,can i see the latest ipo","can i see the latest ipo,can i see the latest ipo","can i see the latest ipo,can i see the latest ipo",can i see the latest ipo,can i see the latest ipu,can i see the latest ipu,can i see the latest ipo,can i see the latest ipu,can i see the latest ipu,can i see the latest ipo,can i see the latest ipu,can i see the latest ipu
"request ten thousand rupees from slanglabs as december bonus,request 10000 rupees from slanglabs as december bonus","request rs10000 from slanglabs as december bonus,request 10000 rupees from slanglabs as december bonus","request 10000 rupees from slanglabs as december bonus,request 10000 rupees from slanglabs as december bonus",request ten thousand rupees from slang labs as december bonus,request 10000 rupees from sliding gloves as december bonus,request 10000 rupees from sliding gloves as december bonus,request rs10000 from slang labs as december bonus,request 10000 rupees from sliding gloves as december bonus,request 10000 rupees from sliding gloves as december bonus,request 10000 rupees from slang labs as december bonus,request 10000 rupees from sliding gloves as december bonus,request 10000 rupees from sliding gloves as december bonus
"send fifty to subham ,send 50 to subham","send 50 to subham,send 50 to subham","send 50 to subham,send 50 to subham",seven fifty two suam,send 52 shubham,send 52 shubham,07:52 suam,send 52 shubham,send 52 shubham,752 suam,send 52 shubham,send 52 shubham
"gift mom,gift mom","gift mom,gift mom","gift mom,gift mom",gift to mummy,gift mummy,gift mummy,gift to mummy,gift mummy,gift mummy,gift to mummy,gift mummy,gift mummy
"i want to check my balance ,i want to check my balance","i want to check my balance,i want to check my balance","i want to check my balance,i want to check my balance",i want to check my balance,i want to check my balance,i want to check my balance,i want to check my balance,i want to check my balance,i want to check my balance,i want to check my balance,i want to check my balance,i want to check my balance
"can I see the latest IPO,can i see the latest ipo","can i see the latest ipo,can i see the latest ipo","can i see the latest ipo,can i see the latest ipo",can i see the latest i p o,can i see the latest i,can i see the latest i,can i see the latest i p o,can i see the latest i,can i see the latest i,can i see the latest i p 0,can i see the latest i,can i see the latest i
"harsh,harsh","harsh,harsh","harsh,harsh",pra,harsh,harsh,pra,harsh,harsh,pra,harsh,harsh
"request money from,request money from","request money from,request money from","request money from,request money from",request money from,request money from,request money from,request money from,request money from,request money from,request money from,request money from,request money from
"harsh,harsh","harsh,harsh","harsh,harsh",s,harsh,harsh,s,harsh,harsh,s,harsh,harsh
"open QR and pay three hundred and seventy five rupees,open qr and pay 375 rupees","open qr and pay rs375,open qr and pay 375 rupees","open qr and pay 375 rupees,open qr and pay 375 rupees",open q r pay three hundred and seventy five rupees,open qr and pay 375 rupees,open qr and pay 375 rupees,open q r pay rs375,open qr and pay 375 rupees,open qr and pay 375 rupees,open q r pay 375 rupees,open qr and pay 375 rupees,open qr and pay 375 rupees
"scan four twenty five rupees for grocery,scan 425 rupees for grocery","scan rs425 for grocery,scan 425 rupees for grocery","scan 425 rupees for grocery,scan 425 rupees for grocery",scan four hundred and twenty five rupees for grocery,for grocery,for grocery,scan rs425 for grocery,for grocery,for grocery,scan 425 rupees for grocery,for grocery,for grocery
"check my balance,check my balance","check my balance,check my balance","check my balance,check my balance",check my balance air im uestion,check my balance,check my balance,check my balance air im uestion,check my balance,check my balance,check my balance air im uestion,check my balance,check my balance
"i want to ask one lockerhood from shubham,i want to ask one lockerhood from shubham","i want to ask one lockerhood from shubham,i want to ask one lockerhood from shubham","i want to ask 1 lockerhood from shubham,i want to ask 1 lockerhood from shubham",i want to ask one lok crode from suga,i want to ask one locker road from shubham,i want to ask one locker road from shubham,i want to ask one lok crode from suga,i want to ask one locker road from shubham,i want to ask one locker road from shubham,i want to ask 1 lok crode from suga,i want to ask 1 locker road from shubham,i want to ask 1 locker road from shubham
"open my transaction history,open my transaction history","open my transaction history,open my transaction history","open my transaction history,open my transaction history",open my transaction is tore,open my transaction history,open my transaction history,open my transaction is tore,open my transaction history,open my transaction history,open my transaction is tore,open my transaction history,open my transaction history
"send five thousand to harsh,send 5000 to harsh","send 5000 to harsh,send 5000 to harsh","send 5000 to harsh,send 5000 to harsh",sent five thousand to hersh,send 5000 to,send 5000 to,sent 5000 to hersh,send 5000 to,send 5000 to,sent 5000 to hersh,send 5000 to,send 5000 to
"donate thousand rupees to akshaya patra,donate 1000 rupees to akshaya patra","donate thousand rupees to akshaya patra,donate 1000 rupees to akshaya patra","donate 1000 rupees to akshaya patra,donate 1000 rupees to akshaya patra",donate thousand rupees to akshey patra,donate thousand rupees to akshaya patra,donate thousand rupees to akshaya patra,donate thousand rupees to akshey patra,donate thousand rupees to akshaya patra,donate thousand rupees to akshaya patra,donate 1000 rupees to akshey patra,donate 1000 rupees to akshaya patra,donate 1000 rupees to akshaya patra
"how many things u can do for me,how many things you can do for me","how many things u can do for me,how many things you can do for me","how many things u can do for me,how many things you can do for me",how many things can you do for me,how many things can you do for me,how many things can you do for me,how many things can you do for me,how many things can you do for me,how many things can you do for me,how many things can you do for me,how many things can you do for me,how many things can you do for me
"donate six hundred rupees to UNICEF,donate 600 rupees to unicef","donate rs600 to unicef,donate 600 rupees to unicef","donate 600 rupees to unicef,donate 600 rupees to unicef",donate six hundred rupees to unicf,donate 600 rupees to unicef,donate 600 rupees to unicef,donate rs600 to unicf,donate 600 rupees to unicef,donate 600 rupees to unicef,donate 600 rupees to unicf,donate 600 rupees to unicef,donate 600 rupees to unicef
"show me my balance,show me my balance","show me my balance,show me my balance","show me my balance,show me my balance",show me my balance,show me my balance,show me my balance,show me my balance,show me my balance,show me my balance,show me my balance,show me my balance,show me my balance
"open scanner,open scanner","open scanner,open scanner","open scanner,open scanner",open scanny,open scanner,open scanner,open scanny,open scanner,open scanner,open scanny,open scanner,open scanner
"pay five thousand rupees and open scanner,pay 5000 rupees and open scanner","pay rs5000 and open scanner,pay 5000 rupees and open scanner","pay 5000 rupees and open scanner,pay 5000 rupees and open scanner",they fd thuusd rupees and open scanner,mi 5000 rupees and open scanner,mi 5000 rupees and open scanner,they fd thuusd rupees and open scanner,mi 5000 rupees and open scanner,mi 5000 rupees and open scanner,they fd thuusd rupees and open scanner,mi 5000 rupees and open scanner,mi 5000 rupees and open scanner
"donate five thousand rupees to shekar ashram,donate 5000 rupees to shekar ashram","donate rs5000 to shekar ashram,donate 5000 rupees to shekar ashram","donate 5000 rupees to shekar ashram,donate 5000 rupees to shekar ashram",donate five thousand rupees to shaker astram,shekhar aashram,shekhar aashram,donate rs5000 to shaker astram,shekhar aashram,shekhar aashram,donate 5000 rupees to shaker astram,shekhar aashram,shekhar aashram
"can you please send,can you please send","can you please send,can you please send","can you please send,can you please send",can you please send,can you please send,can you please send,can you please send,can you please send,can you please send,can you please send,can you please send,can you please send
"send a gift,send a gift","send a gift,send a gift","send a gift,send a gift",send a gift,send a gift,send a gift,send a gift,send a gift,send a gift,send a gift,send a gift,send a gift
"six hundred rupees,600 rupees","rs600,600 rupees","600 rupees,600 rupees",six hundred rupees,100 days,100 days,rs600,100 days,100 days,600 rupees,100 days,100 days
"send three hundred seventy three point two to shubham,send 373.2 to shubham","send 373.2 to shubham,send 3732 to shubham","send 373.2 to shubham,send 3732 to shubham",sen three hundred seventy three to suam,send 370 32 to subham,send 370 32 to subham,sen 373 to suam,send 370 32 to subham,send 370 32 to subham,sen 373 to suam,send 370 32 to subham,send 370 32 to subham
"can we donate five thousand to my room mate,can we donate 5000 to my roommate","can we donate 5000 to my room mate,can we donate 5000 to my roommate","can we donate 5000 to my room mate,can we donate 5000 to my roommate",can we donate five to my roommate,can we donate 5000 to my roommate,can we donate 5000 to my roommate,can we donate five to my roommate,can we donate 5000 to my roommate,can we donate 5000 to my roommate,can we donate 5 to my roommate,can we donate 5000 to my roommate,can we donate 5000 to my roommate
"approve payment to amazon,approve payment to amazon","approve payment to amazon,approve payment to amazon","approve payment to amazon,approve payment to amazon",aproved payment to amazon,approve payment to amazon,approve payment to amazon,aproved payment to amazon,approve payment to amazon,approve payment to amazon,aproved payment to amazon,approve payment to amazon,approve payment to amazon
"i would like to check all the active ipos,i would like to check all the active ipos","i would like to check all the active ipos,i would like to check all the active ipos","i would like to check all the active ipos,i would like to check all the active ipos",i would like to check all the active ipos,i would like to check all the active ips,i would like to check all the active ips,i would like to check all the active ipos,i would like to check all the active ips,i would like to check all the active ips,i would like to check all the active ipos,i would like to check all the active ips,i would like to check all the active ips
"i should get two hundred rupees from satish ,i should get 200 rupees from satish","i should get rs200 from satish,i should get 200 rupees from satish","i should get 200 rupees from satish,i should get 200 rupees from satish",i should get two hundred rupees from sathish,i should get 200 rupees from sathish,i should get 200 rupees from sathish,i should get rs200 from sathish,i should get 200 rupees from sathish,i should get 200 rupees from sathish,i should get 200 rupees from sathish,i should get 200 rupees from sathish,i should get 200 rupees from sathish
"make a request of five hundred,make a request of 500","make a request of 500,make a request of 500","make a request of 500,make a request of 500",make a request of five hundred,make a request of 500,make a request of 500,make a request of 500,make a request of 500,make a request of 500,make a request of 500,make a request of 500,make a request of 500
"show me my transaction history ,show me my transaction history","show me my transaction history,show me my transaction history","show me my transaction history,show me my transaction history",show me my transaction history,show me my transaction history,show me my transaction history,show me my transaction history,show me my transaction history,show me my transaction history,show me my transaction history,show me my transaction history,show me my transaction history
"send three hundred rupees to kumar as a gift ,send 300 rupees to kumar as a gift","send rs300 to kumar as a gift,send 300 rupees to kumar as a gift","send 300 rupees to kumar as a gift,send 300 rupees to kumar as a gift",send three hundred rupees to kumar as a gift,centrient rupees to kumar as a gift,centrient rupees to kumar as a gift,send rs300 to kumar as a gift,centrient rupees to kumar as a gift,centrient rupees to kumar as a gift,send 300 rupees to kumar as a gift,centrient rupees to kumar as a gift,centrient rupees to kumar as a gift
"pay ten and half rupees to pani,pay 10.5 rupees to pani","pay ten and half rupees to pani,pay 105 rupees to pani","pay 10.5 rupees to pani,pay 105 rupees to pani",pay ten and a half rupees to funny,pay 10 and half rupees 2 funny,pay 10 and half rupees 2 funny,pay ten and a half rupees to funny,pay 10 and half rupees 2 funny,pay 10 and half rupees 2 funny,pay 10.5 rupees to funny,pay 10.5 rupees 2 funny,pay 10.5 rupees 2 funny
"happy to donate ten thousand dollars to the needy person ,happy to donate 10000 dollars to the needy person","happy to donate $10000 to the needy person,happy to donate 10000 dollars to the needy person","happy to donate 10000 dollars to the needy person,happy to donate 10000 dollars to the needy person",don happy to donate ten dollars the to the needy person,to the needy person,to the needy person,don happy to donate $10 the to the needy person,to the needy person,to the needy person,don happy to donate 10 dollars the to the needy person,to the needy person,to the needy person
"i want to scan,i want to scan","i want to scan,i want to scan","i want to scan,i want to scan",i want to scan,i want to scan,i want to scan,i want to scan,i want to scan,i want to scan,i want to scan,i want to scan,i want to scan
"approve the pending bills ,approve the pending bills","approve the pending bills,approve the pending bills","approve the pending bills,approve the pending bills",approve the pending bills,approve the pending bills,approve the pending bills,approve the pending bills,approve the pending bills,approve the pending bills,approve the pending bills,approve the pending bills,approve the pending bills
"donate one lakh to sankara eye foundation ,donate 100000 to sankara eye foundation","donate one lakh to sankara eye foundation,donate 100000 to sankara eye foundation","donate 100000 to sankara eye foundation,donate 100000 to sankara eye foundation",donate one lakh to shankra ey foundation,donate 1 lakh to sankara eye foundation,donate 1 lakh to sankara eye foundation,donate one lakh to shankra ey foundation,donate 1 lakh to sankara eye foundation,donate 1 lakh to sankara eye foundation,donate 100000 to shankra ey foundation,donate 100000 to sankara eye foundation,donate 100000 to sankara eye foundation
"five hundred ,500","500,500","500,500",five hundred,500,500,500,500,500,500,500,500
"i want to know how much money i have in hdfc account,i want to know how much money i have in hdfc account","i want to know how much money i have in hdfc account,i want to know how much money i have in hdfc account","i want to know how much money i have in hdfc account,i want to know how much money i have in hdfc account",i want to know how much money i have in gdc account,i want to know how much money i have in hdfc account,i want to know how much money i have in hdfc account,i want to know how much money i have in gdc account,i want to know how much money i have in hdfc account,i want to know how much money i have in hdfc account,i want to know how much money i have in gdc account,i want to know how much money i have in hdfc account,i want to know how much money i have in hdfc account
"pay my october month  bill of eleven hundred twenty six rupees to water supplier ,pay my october month  bill of 1126 rupees to water supplier","pay my october month bill of rs1126 to water supplier,pay my october month bill of 1126 rupees to water supplier","pay my october month  bill of 1126 rupees to water supplier,pay my october month  bill of 1126 rupees to water supplier",pay my october month bill of onleven hundred twenty six rupees to water supplier,pay my october month bill of 1126 rupees 2 water supplier,pay my october month bill of 1126 rupees 2 water supplier,pay my october month bill of onleven hundred rs26 to water supplier,pay my october month bill of 1126 rupees 2 water supplier,pay my october month bill of 1126 rupees 2 water supplier,pay my october month bill of onleven 126 rupees to water supplier,pay my october month bill of 1126 rupees 2 water supplier,pay my october month bill of 1126 rupees 2 water supplier
"please approve a payment of one lakh rupees against the hospitals bills,please approve a payment of 100000 rupees against the hospitals bills","please approve a payment of one lakh rupees against the hospitals bills,please approve a payment of 100000 rupees against the hospitals bills","please approve a payment of 100000 rupees against the hospitals bills,please approve a payment of 100000 rupees against the hospitals bills",please approve a payment of one lakh rupees against hospital bills,please approve a payment of 100000 rupees against hospital bills,please approve a payment of 100000 rupees against hospital bills,please approve a payment of one lakh rupees against hospital bills,please approve a payment of 100000 rupees against hospital bills,please approve a payment of 100000 rupees against hospital bills,please approve a payment of 100000 rupees against hospital bills,please approve a payment of 100000 rupees against hospital bills,please approve a payment of 100000 rupees against hospital bills
"please do a donation to pmkr fund 500 rupees ,please do a donation to pmkr fund 500 rupees","please do a donation to pmkr fund 500 rupees,please do a donation to pmkr fund 500 rupees","please do a donation to pmkr fund 500 rupees,please do a donation to pmkr fund 500 rupees",please do a donation to pm care fund of find rupees,please do it donation to pm care fund of find rupees,please do it donation to pm care fund of find rupees,please do a donation to pm care fund of find rupees,please do it donation to pm care fund of find rupees,please do it donation to pm care fund of find rupees,please do a donation to pm care fund of find rupees,please do it donation to pm care fund of find rupees,please do it donation to pm care fund of find rupees
"i want to view,i want to view","i want to view,i want to view","i want to view,i want to view",i want to i want to weave,contest i want to beef,contest i want to beef,i want to i want to weave,contest i want to beef,contest i want to beef,i want to i want to weave,contest i want to beef,contest i want to beef
"send hundred rupees to kumar ,send 100 rupees to kumar","send hundred rupees to kumar,send 100 rupees to kumar","send 100 rupees to kumar,send 100 rupees to kumar",sen hundred rupees to kumar,send hundred rupees to kumar,send hundred rupees to kumar,sen hundred rupees to kumar,send hundred rupees to kumar,send hundred rupees to kumar,sen 100 rupees to kumar,send 100 rupees to kumar,send 100 rupees to kumar
"request three hundred from ajay ,request 300 from ajay","request 300 from ajay,request 300 from ajay","request 300 from ajay,request 300 from ajay",request three hundred from ajai,request 300 from ajay,request 300 from ajay,request 300 from ajai,request 300 from ajay,request 300 from ajay,request 300 from ajai,request 300 from ajay,request 300 from ajay
"pay hundred rupees through QR scanner,pay 100 rupees through qr scanner","pay hundred rupees through qr scanner,pay 100 rupees through qr scanner","pay 100 rupees through qr scanner,pay 100 rupees through qr scanner",pay hundre rupees thugh r scaner,100 rupees through qr scanner,100 rupees through qr scanner,pay hundre rupees thugh r scaner,100 rupees through qr scanner,100 rupees through qr scanner,pay hundre rupees thugh r scaner,100 rupees through qr scanner,100 rupees through qr scanner
"show me the offers running on my current bank account,show me the offers running on my current bank account","show me the offers running on my current bank account,show me the offers running on my current bank account","show me the offers running on my current bank account,show me the offers running on my current bank account",show me the offers running on my current bank account,show me the offers running on my current bank account,show me the offers running on my current bank account,show me the offers running on my current bank account,show me the offers running on my current bank account,show me the offers running on my current bank account,show me the offers running on my current bank account,show me the offers running on my current bank account,show me the offers running on my current bank account
"scan and send ,scan and send","scan and send,scan and send","scan and send,scan and send",scannon sent,scan and send,scan and send,scannon sent,scan and send,scan and send,scannon sent,scan and send,scan and send
"maa,maa","maa,maa","maa,maa",ma,man,man,ma,man,man,ma,man,man
"clear my electricity bill dues ,clear my electricity bill dues","clear my electricity bill dues,clear my electricity bill dues","clear my electricity bill dues,clear my electricity bill dues",clear my electricity build ues,clear my electricity bill dues,clear my electricity bill dues,clear my electricity build ues,clear my electricity bill dues,clear my electricity bill dues,clear my electricity build ues,clear my electricity bill dues,clear my electricity bill dues
"scan and pay hundred rupees ,scan and pay 100 rupees","scan and pay hundred rupees,scan and pay 100 rupees","scan and pay 100 rupees,scan and pay 100 rupees",scan and pay one hundred rupees,scan and pay 100 rupees,scan and pay 100 rupees,scan and pay rs100,scan and pay 100 rupees,scan and pay 100 rupees,scan and pay 100 rupees,scan and pay 100 rupees,scan and pay 100 rupees
"send twenty thousand as a loan to shailaja,send 20000 as a loan to shailaja","send 20000 as a loan to shailaja,send 20000 as a loan to shailaja","send 20000 as a loan to shailaja,send 20000 as a loan to shailaja",send twenty thousand as a loan to shalajar,send 20000 as a loan to shailaja,send 20000 as a loan to shailaja,send 20000 as a loan to shalajar,send 20000 as a loan to shailaja,send 20000 as a loan to shailaja,send 20000 as a loan to shalajar,send 20000 as a loan to shailaja,send 20000 as a loan to shailaja
"money to agna ,money to agna","money to agna,money to agna","money to agna,money to agna",mone to agna,money to agra,money to agra,mone to agna,money to agra,money to agra,mone to agna,money to agra,money to agra
"request nine hundred and five from madhuri,request 905 from madhuri","request 905 from madhuri,request 905 from madhuri","request 905 from madhuri,request 905 from madhuri",requested nine hundred and five from mathuri,request 905 from madhuri,request 905 from madhuri,requested 905 from mathuri,request 905 from madhuri,request 905 from madhuri,requested 905 from mathuri,request 905 from madhuri,request 905 from madhuri
"i want to pay my gas bill,i want to pay my gas bill","i want to pay my gas bill,i want to pay my gas bill","i want to pay my gas bill,i want to pay my gas bill",i want to pay my gas bill,i want to pay my gas bill,i want to pay my gas bill,i want to pay my gas bill,i want to pay my gas bill,i want to pay my gas bill,i want to pay my gas bill,i want to pay my gas bill,i want to pay my gas bill
"make a request to vijay hundred rupees,make a request to vijay 100 rupees","make a request to vijay hundred rupees,make a request to vijay 100 rupees","make a request to vijay 100 rupees,make a request to vijay 100 rupees",make your request to ijy one hundred rupees,make a request to vijay hundred rupees,make a request to vijay hundred rupees,make your request to ijy rs100,make a request to vijay hundred rupees,make a request to vijay hundred rupees,make your request to ijy 100 rupees,make a request to vijay 100 rupees,make a request to vijay 100 rupees
"show me my last transaction ,show me my last transaction","show me my last transaction,show me my last transaction","show me my last transaction,show me my last transaction",show me my last transaction,show me my last transaction,show me my last transaction,show me my last transaction,show me my last transaction,show me my last transaction,show me my last transaction,show me my last transaction,show me my last transaction
"how do i gift my mother five thousand rupees amount,how do i gift my mother 5000 rupees amount","how do i gift my mother rs5000 amount,how do i gift my mother 5000 rupees amount","how do i gift my mother 5000 rupees amount,how do i gift my mother 5000 rupees amount",how do i gift my mother fiveve thousd upeive d rupe,how do i gift my mother 5000 rupees,how do i gift my mother 5000 rupees,how do i gift my mother fiveve thousd upeive d rupe,how do i gift my mother 5000 rupees,how do i gift my mother 5000 rupees,how do i gift my mother fiveve thousd upeive d rupe,how do i gift my mother 5000 rupees,how do i gift my mother 5000 rupees
"microphone permission ,microphone permission","microphone permission,microphone permission","microphone permission,microphone permission",microphone permission to slag co,plank,plank,microphone permission to slag co,plank,plank,microphone permission to slag co,plank,plank
"i want to send two hundred rupees and fifty paise to the maid ,i want to send 200.50 rupees to the maid","i want to send rs200 and 50 paise to the maid,i want to send 20050 rupees to the maid","i want to send 200 rupees and 50 paise to the maid,i want to send 20050 rupees to the maid",i want to send two hundred rupees and fifty pase to the maid,i want to send 200 rupees and 50 paise to the maid,i want to send 200 rupees and 50 paise to the maid,i want to send rs200 and 50 pase to the maid,i want to send 200 rupees and 50 paise to the maid,i want to send 200 rupees and 50 paise to the maid,i want to send 200 rupees and 50 pase to the maid,i want to send 200 rupees and 50 paise to the maid,i want to send 200 rupees and 50 paise to the maid
"request lohith to transfer rupees one thousand two hundred and fifty to me,request lohith to transfer rupees 1250 to me","request lohith to transfer rupees 1250 to me,request lohith to transfer rupees 1250 to me","request lohith to transfer rupees 1250 to me,request lohith to transfer rupees 1250 to me",request low hits to transfer rupees one thousand twohundre andy to me,request lohit's to transfer rupees 1250 to me,request lohit's to transfer rupees 1250 to me,request low hits to transfer rupees 1000 twohundre andy to me,request lohit's to transfer rupees 1250 to me,request lohit's to transfer rupees 1250 to me,request low hits to transfer rupees 1000 twohundre andy to me,request lohit's to transfer rupees 1250 to me,request lohit's to transfer rupees 1250 to me
"request fifty thousand two hundred rupees from kumar ,request 50200 rupees from kumar","request rs50200 from kumar,request 50200 rupees from kumar","request 50200 rupees from kumar,request 50200 rupees from kumar",request fifty thousand two hundred rupees from kumar,request 50200 rupees ramkumar,request 50200 rupees ramkumar,request rs50200 from kumar,request 50200 rupees ramkumar,request 50200 rupees ramkumar,request 50200 rupees from kumar,request 50200 rupees ramkumar,request 50200 rupees ramkumar
"request vinayak to transfer two thousand to me ,request vinayak to transfer 2000 to me","request vinayak to transfer 2000 to me,request vinayak to transfer 2000 to me","request vinayak to transfer 2000 to me,request vinayak to transfer 2000 to me",request vinac to transfer two thousand to me,request vinayak to transfer 2000 to me,request vinayak to transfer 2000 to me,request vinac to transfer 2000 to me,request vinayak to transfer 2000 to me,request vinayak to transfer 2000 to me,request vinac to transfer 2000 to me,request vinayak to transfer 2000 to me,request vinayak to transfer 2000 to me
"show me my x transaction history ,show me my x transaction history","show me my x transaction history,show me my x transaction history","show me my x transaction history,show me my x transaction history",show me my x transaction history,show me my x transaction history,show me my x transaction history,show me my x transaction history,show me my x transaction history,show me my x transaction history,show me my x transaction history,show me my x transaction history,show me my x transaction history
"i would like to make a donation to pm cares fund ,i would like to make a donation to pm cares fund","i would like to make a donation to pm cares fund,i would like to make a donation to pm cares fund","i would like to make a donation to pm cares fund,i would like to make a donation to pm cares fund",i would like to make a donation to pm cares fund,i would like to make a donation to pm cares fund,i would like to make a donation to pm cares fund,i would like to make a donation to pm cares fund,i would like to make a donation to pm cares fund,i would like to make a donation to pm cares fund,i would like to make a donation to pm cares fund,i would like to make a donation to pm cares fund,i would like to make a donation to pm cares fund
"go to scanner and send two hundred and twenty two rupees,go to scanner and send 222 rupees","go to scanner and send rs222,go to scanner and send 222 rupees","go to scanner and send 222 rupees,go to scanner and send 222 rupees",go to scanner and send two hundred and twenty two rupees,go to scanner and send 222 rupees,go to scanner and send 222 rupees,go to scanner and send rs222,go to scanner and send 222 rupees,go to scanner and send 222 rupees,go to scanner and send 222 rupees,go to scanner and send 222 rupees,go to scanner and send 222 rupees
"go and ask rajesh to pay four hundred rupees,go and ask rajesh to pay 400 rupees","go and ask rajesh to pay rs400,go and ask rajesh to pay 400 rupees","go and ask rajesh to pay 400 rupees,go and ask rajesh to pay 400 rupees",go and ask rajis to pay for hundred rupees,go and ask rajesh to pay 400 rupees,go and ask rajesh to pay 400 rupees,go and ask rajis to pay for hundred rupees,go and ask rajesh to pay 400 rupees,go and ask rajesh to pay 400 rupees,go and ask rajis to pay for 100 rupees,go and ask rajesh to pay 400 rupees,go and ask rajesh to pay 400 rupees
"i would like to view my transaction history ,i would like to view my transaction history","i would like to view my transaction history,i would like to view my transaction history","i would like to view my transaction history,i would like to view my transaction history",i would like to view my transaction history,i would like to give my transaction history,i would like to give my transaction history,i would like to view my transaction history,i would like to give my transaction history,i would like to give my transaction history,i would like to view my transaction history,i would like to give my transaction history,i would like to give my transaction history
"request three hundred from satish ,request 300 from satish","request 300 from satish,request 300 from satish","request 300 from satish,request 300 from satish",request three hundred from sadish,request 300 from satish,request 300 from satish,request 300 from sadish,request 300 from satish,request 300 from satish,request 300 from sadish,request 300 from satish,request 300 from satish
"view my transaction history ,view my transaction history","view my transaction history,view my transaction history","view my transaction history,view my transaction history",we have made transaction history,view my transaction history,view my transaction history,we have made transaction history,view my transaction history,view my transaction history,we have made transaction history,view my transaction history,view my transaction history
"please pay my minimum amount for my credit card bill,please pay my minimum amount for my credit card bill","please pay my minimum amount for my credit card bill,please pay my minimum amount for my credit card bill","please pay my minimum amount for my credit card bill,please pay my minimum amount for my credit card bill",please pay the minimum amount for my credit card bill,please pay the minimum amount for my credit card bill,please pay the minimum amount for my credit card bill,please pay the minimum amount for my credit card bill,please pay the minimum amount for my credit card bill,please pay the minimum amount for my credit card bill,please pay the minimum amount for my credit card bill,please pay the minimum amount for my credit card bill,please pay the minimum amount for my credit card bill
"approve the pending request,approve the pending request","approve the pending request,approve the pending request","approve the pending request,approve the pending request",approve the pending request,approve the pending request,approve the pending request,approve the pending request,approve the pending request,approve the pending request,approve the pending request,approve the pending request,approve the pending request
